English Name,Nepali Name,Unit,Minimum Price,Maximum Price,Average Price,Language
,मूला सेतो(लोकल),के.जी.,रू. २०,रू. २५, २२.५०,kalimatiN
,सेतो मूला(हाइब्रीड),केजी,रू. २५,रू. ३०, २७.५०,kalimatiN
,भन्टा लाम्चो,के.जी.,रू. ३०,रू. ४०, ३५.००,kalimatiN
,भन्टा डल्लो,के.जी.,रू. ६०,रू. ७०, ६५.००,kalimatiN
,बोडी(तने),के.जी.,रू. ८०,रू. १००, ९०.००,kalimatiN
,मकै बोडी,केजी,रू. १००,रू. ११०, १०५.००,kalimatiN
,घिउ सिमी(लोकल),के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,घिउ सिमी(हाइब्रीड),केजी,रू. ९०,रू. १००, ९५.००,kalimatiN
,टाटे सिमी,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,भटमासकोशा,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,तितो करेला,के.जी.,रू. ६०,रू. ७०, ६५.००,kalimatiN
,लौका,के.जी.,रू. ४०,रू. ५०, ४५.००,kalimatiN
,परवर(लोकल),के.जी.,रू. ७०,रू. ८०, ७५.००,kalimatiN
,परवर(तराई),केजी,रू. ७०,रू. ८०, ७५.००,kalimatiN
,चिचिण्डो,के.जी.,रू. ३०,रू. ४०, ३५.००,kalimatiN
,घिरौला,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,झिगूनी,के.जी.,रू. ६०,रू. ७०, ६५.००,kalimatiN
,फर्सी पाकेको,के.जी.,रू. ३५,रू. ४०, ३७.५०,kalimatiN
,हरियो फर्सी(डल्लो),केजी,रू. ४०,रू. ५०, ४५.००,kalimatiN
,सलगम,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,भिण्डी,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,पिंडालू,के.जी.,रू. ४०,रू. ५०, ४५.००,kalimatiN
,स्कूस,के.जी.,रू. १०,रू. १५, १२.५०,kalimatiN
,रायो साग,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,पालूगो साग,के.जी.,रू. २५०,रू. ३००, २७५.००,kalimatiN
,चमसूरको साग,के.जी.,रू. २८०,रू. ३००, २९०.००,kalimatiN
,तोरीको साग,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,प्याज हरियो,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,च्याउ(कन्य),के.जी.,रू. २२०,रू. २५०, २३५.००,kalimatiN
,च्याउ(डल्ले),के जी,रू. ४००,रू. ४५०, ४२५.००,kalimatiN
,कुरीलो,के.जी.,रू. ७००,रू. ८००, ७५०.००,kalimatiN
,न्यूरो,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,ब्रोकाउली,के.जी.,रू. २००,रू. २५०, २२५.००,kalimatiN
,चुकुन्दर,के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,सजिवन,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,रातो बन्दा,के.जी.,रू. ३५०,रू. ४००, ३७५.००,kalimatiN
,जिरीको साग,के.जी.,रू. ३००,रू. ३५०, ३२५.००,kalimatiN
,सेलरी,के.जी.,रू. ४००,रू. ४५०, ४२५.००,kalimatiN
,गान्टे मूला,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,इमली,के.जी.,रू. १४०,रू. १५०, १४५.००,kalimatiN
,तामा,के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,तोफु,के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,गुन्दुक,के.जी.,रू. १५०,रू. २००, १७५.००,kalimatiN
,स्याउ(झोले),के.जी.,रू. १९०,रू. २००, १९५.००,kalimatiN
,स्याउ(फूजी),के जी,रू. १९०,रू. २००, १९५.००,kalimatiN
,केरा,दर्जन,रू. १००,रू. ११०, १०५.००,kalimatiN
,कागती,के.जी.,रू. १५०,रू. १६०, १५५.००,kalimatiN
,अनार,के.जी.,रू. ३००,रू. ३५०, ३२५.००,kalimatiN
,सुन्तला(भारतीय),केजी,रू. १२०,रू. १३०, १२५.००,kalimatiN
,तरबुजा(हरियो),के.जी.,रू. ४०,रू. ५०, ४५.००,kalimatiN
,मौसम,के.जी.,रू. १२०,रू. १३०, १२५.००,kalimatiN
,भुई कटहर,प्रति गोटा,रू. १५०,रू. १६०, १५५.००,kalimatiN
,काक्रो(लोकल),के.जी.,रू. ५०,रू. ७०, ६०.००,kalimatiN
,काक्रो(हाइब्रीड),के जी,रू. २०,रू. ३०, २५.००,kalimatiN
,निबुवा,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,नासपाती(लोकल),के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,नासपाती(चाइनिज),केजी,रू. १९०,रू. २००, १९५.००,kalimatiN
,मेवा(भारतीय),केजी,रू. ७०,रू. ८०, ७५.००,kalimatiN
,अम्बा,के.जी.,रू. १००,रू. १२०, ११०.००,kalimatiN
,लप्सी,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,किवि,केजी,रू. ५००,रू. ६००, ५५०.००,kalimatiN
,अदुवा,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,खु्र्सानी सुकेको,के.जी.,रू. ३००,रू. ३२०, ३१०.००,kalimatiN
,खु्र्सानी हरियो,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,खुर्सानी हरियो(बुलेट),के जी,रू. ११०,रू. १२०, ११५.००,kalimatiN
,खुर्सानी हरियो(माछे),के जी,रू. ५०,रू. ६०, ५५.००,kalimatiN
,खुर्सानी हरियो(अकबरे),के जी,रू. १५०,रू. २००, १७५.००,kalimatiN
,भेडे खु्र्सानी,के.जी.,रू. १००,रू. १२०, ११०.००,kalimatiN
,लसुन हरियो,के.जी.,रू. ३५०,रू. ४००, ३७५.००,kalimatiN
,हरियो धनिया,के.जी.,रू. ४००,रू. ५००, ४५०.००,kalimatiN
,लसुन सुकेको चाइनिज,के.जी.,रू. १९०,रू. २१०, २००.००,kalimatiN
,लसुन सुकेको नेपाली,के.जी.,रू. १६०,रू. १७०, १६५.००,kalimatiN
,छ्यापी सुकेको,के.जी.,रू. २८०,रू. ३००, २९०.००,kalimatiN
,छ्यापी हरियो,के.जी.,रू. ३२०,रू. ३५०, ३३५.००,kalimatiN
,ताजा माछा(रहु),के जी,रू. २७०,रू. २८०, २७५.००,kalimatiN
,ताजा माछा(बचुवा),के जी,रू. २२५,रू. २३५, २३०.००,kalimatiN
,ताजा माछा(छडी),के जी,रू. २२०,रू. २३०, २२५.००,kalimatiN
,ताजा माछा(मुंगरी),के जी,रू. २५०,रू. २६०, २५५.००,kalimatiN
